latitude,longitude,place_name,place_lat,place_lng
-36.876921,174.776577,Glengarry Wines - Bassett Road,-36.87503540000001,174.785112
-36.876921,174.776577,Epsom Liquor,-36.8855254,174.7757365
-36.84188,174.601693,Super Liquor Red Hills,-36.836440499999995,174.6005889
-36.777366,174.749491,Liquor Star,-36.773687599999995,174.7415227
-36.777366,174.749491,The Bottle O Wairau,-36.776501499999995,174.7442744
-36.882722,174.914424,Bucklands Beach Liquor,-36.8800569,174.9117387
-43.537243,172.623008,Vino Fino,-43.536829499999996,172.6338034
-43.537243,172.623008,Citywide Florist,-43.542623999999996,172.6137219
-43.537243,172.623008,Mediterranean Foods - Riverside Farmers Market,-43.5341051,172.63393349999998
-43.537243,172.623008,The Spirits Workshop Distillery,-43.542315099999996,172.63295549999998
-43.50732,172.57771,Frank's Liquor,-43.5094335,172.5887214
-37.662776,176.207104,Super Liquor Mt Maunganui,-37.6620978,176.2046783
-37.662776,176.207104,Liquor Hut Mount Maunganui,-37.6659566,176.20764599999998
-37.662776,176.207104,Bottlezone Central Parade,-37.6555763,176.20067910000003
-37.702139,176.156216,Avenue Liquor Centre,-37.698630400000006,176.16033299999998
-37.702139,176.156216,Blanc Flowers,-37.6980965,176.158233
-37.702139,176.156216,Liquor Barrel Hillsdene (Hillsdene Wine Cellars),-37.7014298,176.1558953
-36.85259,174.646309,Super Liquor Central Park,-36.8572451,174.6372444
-36.96796,174.918244,The Cellar Ormiston Town Centre - Liquor Store Ormiston,-36.9649389,174.9140917
-36.861976,174.717535,Liquor Centre Point Chev - Great North Road,-36.8680936,174.7168691
-36.861976,174.717535,Glengarry Wines - Westmere,-36.854178399999995,174.71809
-36.861976,174.717535,The Liquor Store - Point Chevalier,-36.8695267,174.7136619
-36.865643,174.800324,Fine O Wine Remuera,-36.8714339,174.7991911
-36.865643,174.800324,Great Little Vineyards,-36.86334,174.80963409999998
-36.909712,174.875035,Pakuranga Plaza Liquor Centre,-36.9120565,174.8655029
-36.909712,174.875035,Ti Rakau Liquor & Wine,-36.9154493,174.8720722
-36.909712,174.875035,Thirsty Liquor Pakuranga,-36.912123,174.86545279999999
-36.912708,174.747139,Super Liquor Three Kings,-36.9096291,174.75422899999998
-36.912708,174.747139,Three Kings Liquor,-36.9139389,174.7543623
-36.912708,174.747139,Melrose Liquor,-36.916239999999995,174.75162129999998
-36.921035,174.715436,Super Liquor Mt Roskill,-36.9151039,174.7225852
-36.921035,174.715436,Donovan Liquor,-36.9221576,174.7132552
-37.011253,174.882302,Blackbull Manurewa,-37.009706699999995,174.8903685
-36.93095,174.669395,Liquorland Green Bay,-36.930602199999996,174.6798478
-41.216497,174.901464,Super Liquor Alicetown,-41.2169965,174.8905979
-41.216497,174.901464,The Bottle-O Lower Hutt,-41.2105819,174.90029009999998
-41.216497,174.901464,Tokyo Liquor Lower Hutt,-41.2088277,174.9041623
